Date,S&P,Nasdaq,Dow,Mag7
2025-07-16,-541,-56,-40,88
2025-07-15,593,302,182,151
2025-07-14,200,-3,89,161
2025-07-11,-322,-327,49,-61
2025-07-10,-2162,-1194,-904,-1003
2025-07-09,951,294,387,466
2025-07-08,160,602,144,-17
2025-07-07,2329,1270,696,809
2025-07-03,13,258,-62,72
2025-07-02,1452,964,681,665
2025-07-01,1140,731,317,268
2025-06-30,1676,807,478,457
2025-06-27,1745,1507,689,1194
2025-06-26,-2685,-732,-699,-543
2025-06-25,-1195,-61,-429,-24
2025-06-24,-2,156,247,53
2025-06-23,-82,351,22,416
2025-06-20,512,235,237,118
2025-06-18,2489,839,779,888
2025-06-17,472,555,229,332
2025-06-16,433,-205,28,-195
2025-06-13,1224,12,221,129
2025-06-12,-973,-519,-255,-270
2025-06-11,-1063,-380,-620,-162
2025-06-10,673,142,272,119
2025-06-09,2900,1300,720,550
2025-06-06,570,77,168,-99
2025-06-05,2764,1141,703,591
2025-06-04,-325,-97,-3,63
2025-06-03,-259,3,-264,-158
2025-06-02,110,-406,-253,-352
2025-05-30,93,-256,-883,-578
2025-05-29,3264,1501,1005,868
2025-05-28,-679,-234,-338,-67
2025-05-27,-119,-141,67,-125
2025-05-23,582,204,344,223
2025-05-22,1695,855,507,666
2025-05-21,649,413,134,312
2025-05-20,-313,15,77,50
2025-05-19,1657,966,551,696
2025-05-16,-203,579,17,354
2025-05-15,3447,2568,981,1331
2025-05-14,2890,1892,1039,1244
2025-05-13,-147,1043,-1,421
2025-05-12,1536,1527,363,421
2025-05-09,1010,440,261,163
2025-05-08,-2046,-534,-735,-456
2025-05-07,-1438,-999,-585,-454
2025-05-06,1360,446,346,148
2025-05-05,692,278,207,150
2025-05-02,2348,1225,732,669
2025-05-01,162,408,27,255
2025-04-30,2788,1282,1000,1014
2025-04-29,1195,758,304,347
2025-04-28,1765,1358,520,963
2025-04-25,3,938,-30,499
2025-04-24,1726,1167,479,574
2025-04-23,2330,1559,757,524
2025-04-22,809,370,183,35
2025-04-21,174,-189,-60,59
2025-04-17,-2217,-332,-963,-235
2025-04-16,576,1712,-94,918
2025-04-15,2096,1031,699,514
2025-04-14,-146,545,-100,-321
2025-04-11,1679,485,400,350
2025-04-10,1290,1517,373,907
2025-04-09,1708,2594,597,1213
2025-04-08,-649,430,-309,101
2025-04-07,-2214,-2211,-186,-727
2025-04-04,-3596,-1811,-1141,-874
2025-04-03,656,-451,181,21
2025-04-02,938,396,270,191
2025-04-01,437,606,35,132
2025-03-31,6800,2800,2600,1900
2025-03-28,1926,382,797,247
2025-03-27,760,542,224,-581
2025-03-26,1437,578,779,533
2025-03-25,-437,267,-476,-98
2025-03-24,784,194,-137,-44
2025-03-21,3884,2001,1005,1351
2025-03-20,1508,-191,323,-342
2025-03-19,-1222,-661,-545,-684
2025-03-18,265,240,145,134
2025-03-17,-417,220,-291,330
2025-03-14,619,-269,181,-58
