,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus,mean_reversion,ticker,ibs,notional_value,rank
14,61.02,60.71,60.93,60.74,2025-09-18T20:00:00Z,130866.0,556,94460,0,False,True,1151,0,0,595,36406,1758225600000,Closed,3.292614665309743e-05,THD,0.09677419354839005,7948800.84,1
14,72.27,69.53,72.27,69.96,2025-09-18T20:00:00Z,593959.0,3191,298258,0,False,True,6307,0,0,3116,295701,1758225600000,Closed,0.038350515463917614,ARGT,0.15693430656934065,41553371.63999999,2
14,34.73,34.26,34.73,34.35,2025-09-18T20:00:00Z,43520.0,353,21607,0,False,True,715,0,0,362,21913,1758225600000,Closed,0.027766142062114908,TUR,0.19148936170213537,1494912.0,3
14,31.0,30.75,30.95,30.82,2025-09-18T20:00:00Z,18200968.0,18113,9250735,0,False,True,35562,0,0,17449,8950233,1758225600000,Closed,0.02195105776245094,EWZ,0.28000000000000114,560953833.76,4
14,66.92,65.51,66.92,65.95,2025-09-18T20:00:00Z,1840935.0,10715,921408,0,False,True,21606,0,0,10891,919527,1758225600000,Closed,0.007793398533007413,EWW,0.3120567375886516,121409663.25,5
14,32.68,32.3,32.49,32.42,2025-09-18T20:00:00Z,33932.0,249,13645,0,False,True,514,0,0,265,20287,1758225600000,Closed,0.008653640338806876,COlO,0.3157894736842204,1100075.44,6
14,53.89,53.66,53.89,53.74,2025-09-18T20:00:00Z,4096344.0,9517,1909375,0,False,True,18681,0,0,9164,2186969,1758225600000,Closed,0.008841915560644962,INDA,0.3478260869565392,220137526.56,7
14,664.89,660.27,661.89,662.26,2025-09-18T20:00:00Z,90459242.0,478740,46206855,0,False,True,951807,0,0,473067,44252387,1758225600000,Closed,0.01015863331299568,SPY,0.4307359307359323,59907537606.92,8
14,57.53,56.8,57.46,57.14,2025-09-18T20:00:00Z,31615.0,205,13552,0,False,True,418,0,0,213,18063,1758225600000,Closed,0.0015551556029285614,EPU,0.4657534246575364,1806481.1,9
14,32.19,31.96,32.18,32.07,2025-09-18T20:00:00Z,184120.0,978,95492,0,False,True,1933,0,0,955,88628,1758225600000,Closed,0.009634982397628456,EPOL,0.4782608695652214,5904728.4,10
14,41.77,41.55,41.72,41.66,2025-09-18T20:00:00Z,2027028.0,3340,1075916,0,False,True,6661,0,0,3321,951112,1758225600000,Closed,0.004087877411489241,EWU,0.49999999999998385,84445986.47999999,11
14,64.52,63.99,64.22,64.3,2025-09-18T20:00:00Z,189703.0,1155,78213,0,False,True,2333,0,0,1178,111490,1758225600000,Closed,0.001105419670242382,GREK,0.5849056603773559,12197902.9,12
14,26.54,26.32,26.54,26.46,2025-09-18T20:00:00Z,38836.0,220,26452,0,False,True,405,0,0,185,12384,1758225600000,Closed,0.014181678804139694,EPHE,0.6363636363636422,1027600.56,13
14,81.7,81.11,81.29,81.49,2025-09-18T20:00:00Z,5465435.0,11400,2746441,0,False,True,22785,0,0,11385,2718994,1758225600000,Closed,0.008539603960396012,EWJ,0.644067796610158,445378298.15,14
14,57.22,56.51,56.92,56.97,2025-09-18T20:00:00Z,1057080.0,1237,112754,0,False,True,2772,0,0,1535,1675540,1758225600000,Closed,0.037742722867863954,EWN,0.6478873239436624,60221847.6,15
14,64.91,64.45,64.68,64.75,2025-09-18T20:00:00Z,2749142.0,9737,1207739,0,False,True,18451,0,0,8714,1541403,1758225600000,Closed,0.016228262916692694,MCHI,0.6521739130434809,178006944.5,16
14,55.31,55.02,55.19,55.21,2025-09-18T20:00:00Z,256551.0,2388,120986,0,False,True,4813,0,0,2425,135565,1758225600000,Closed,0.00973938622136924,EWL,0.6551724137930975,14164180.71,17
14,17.76,17.61,17.75,17.72,2025-09-18T20:00:00Z,1004519.0,2770,547564,0,False,True,5302,0,0,2532,456955,1758225600000,Closed,0.0022624434389139788,EIDO,0.7333333333333191,17800076.68,18
14,26.95,26.72,26.82,26.89,2025-09-18T20:00:00Z,3564924.0,4088,1767251,0,False,True,7816,0,0,3728,1797673,1758225600000,Closed,0.009795257033436377,EWA,0.7391304347826148,95860806.36,19
14,41.54,41.17,41.27,41.45,2025-09-18T20:00:00Z,5658966.0,4947,3657995,0,False,True,10695,0,0,5748,2000971,1758225600000,Closed,0.0027578865879621718,EWG,0.756756756756765,234564140.70000002,20
14,25.64,25.47,25.52,25.6,2025-09-18T20:00:00Z,244480.0,917,114251,0,False,True,1953,0,0,1036,130229,1758225600000,Closed,0.008151852872839,EWM,0.7647058823529486,6258688.0,21
14,51.52,51.08,51.18,51.44,2025-09-18T20:00:00Z,1157620.0,1584,978016,0,False,True,3224,0,0,1640,179604,1758225600000,Closed,0.001713662564262365,EWI,0.8181818181818079,59547972.8,22
